Symbols,Score,min_ranking,median_ranking
SNHG22,1.0,24.0,19738.0
EGFR-AS1,0.9995350038749677,32.0,19737.0
SLC9A3-AS1,0.9987600103332472,48.0,19738.0
MYMX,0.9967966933608886,34.0,19686.0
FLNC-AS1,0.9933867217773186,153.0,19739.0
SKP1P2,0.9933867217773186,87.0,19673.0
DSG2-AS1,0.9932317230689744,155.0,19738.0
ZC3H18-AS1,0.9929217256522862,118.0,19695.0
GTF2H2C_2,0.9909067424438129,123.0,19661.0
ZFY,0.9908550762076983,12.0,19549.0
MIR505,0.9904934125548954,107.0,19637.0
MIR611,0.989356755360372,153.0,19661.0
MIR661,0.9892534228881426,132.0,19638.0
MIR675,0.9890467579436838,136.0,19638.0
IGL,0.9873934383880134,91.0,19561.0
MIR591,0.9869801084990958,186.0,19648.0
TRD,0.9863084474296048,246.0,19695.0
IGK,0.9848617928183931,291.0,19712.0
MIR627,0.9841901317489021,244.0,19652.0
MIR744,0.9837251356238698,249.0,19648.0
ALD,0.9832084732627228,229.0,19618.0
LINC01786,0.9829501420821494,354.0,19738.0
MIR656,0.9827951433738052,226.0,19607.0
PRD,0.9825884784293464,273.0,19650.0
MIR605,0.982485145957117,270.0,19645.0
HYMAI,0.9820718160681994,5.0,19372.0
TUBB8B,0.9815034874709377,193.0,19549.0
DISC2,0.981296822526479,343.0,19695.0
MIR504,0.9812451562903642,294.0,19645.0
MIR532,0.9808834926375614,248.0,19592.0
MIR10A,0.9805734952208731,299.0,19637.0
MIR933,0.9805734952208731,317.0,19655.0
MS4A13,0.9797985016791527,217.0,19540.0
MIR17,0.9796951692069232,136.0,19457.0
SLC22A20P,0.9794885042624645,391.0,19708.0
MIR939,0.9790235081374322,322.0,19630.0
MIR597,0.9778868509429088,359.0,19645.0
MIR346,0.97768018599845,355.0,19637.0
MIR645,0.9772668561095325,414.0,19688.0
MIR517B,0.9772151898734177,400.0,19673.0
MIR567,0.977008524928959,379.0,19648.0
MIR204,0.9769568586928442,166.0,19434.0
MIR370,0.9766985275122707,331.0,19594.0
MIRLET7D,0.9766985275122707,259.0,19522.0
MT-TT,0.9765435288039266,285.0,19545.0
SCP2D1-AS1,0.9759235339705502,488.0,19736.0
N4BP2L2-IT2,0.9758718677344356,489.0,19736.0
RPP38-DT,0.9755618703177473,406.0,19647.0
MIR586,0.9750452079566003,378.0,19609.0
MIR628,0.9741152157065358,424.0,19637.0
SCARNA7,0.9739085507620769,487.0,19696.0
STBD1,0.9737535520537329,29.0,19235.0
MIR769,0.9736502195815034,388.0,19592.0
SLC9B1P1,0.9736502195815034,446.0,19650.0
