disease	diseasegroup	#diseasegenes	network	knowledgecategory	percgenesinnetwork	trainingtype	auprg	auc	Type	ntop	#tp	recall	precision	f1	matthews_corrcoef	baccuracy
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	1	1.0	0.0	0.0	0.0	0.0	-0.0	0.5
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	1024	1024.0	6.7	0.394	0.007	0.013	0.045	0.669
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	127	127.0	4.05	0.238	0.032	0.056	0.085	0.616
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	16	16.0	1.2	0.071	0.075	0.073	0.072	0.535
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	2	2.0	0.0	0.0	0.0	0.0	-0.0	0.5
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	256	256.0	4.9	0.288	0.019	0.036	0.071	0.637
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	32	32.0	1.9	0.112	0.059	0.078	0.08	0.555
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	4	4.0	0.05	0.003	0.012	0.005	0.006	0.501
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	512	512.0	5.45	0.321	0.011	0.021	0.054	0.646
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	63	63.0	3.3	0.194	0.052	0.082	0.099	0.595
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	7	7.0	0.3	0.018	0.043	0.025	0.027	0.509
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	n	58.0	3.25	0.191	0.056	0.087	0.102	0.594
Acute_rhabdomyolysis	NA	58	COXPRESdb	COEXPRESSION	87.931	Random	0.569	0.716	t	17.0	1.2	0.071	0.071	0.071	0.07	0.535
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	1	1.0	0.0	0.0	0.0	0.0	-0.002	0.5
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	1024	1024.0	4.4	0.259	0.004	0.008	-0.02	0.44
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	127	127.0	1.4	0.082	0.011	0.019	0.013	0.518
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	16	16.0	0.05	0.003	0.003	0.003	-0.003	0.499
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	2	2.0	0.0	0.0	0.0	0.0	-0.002	0.5
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	256	256.0	1.75	0.103	0.007	0.013	0.002	0.504
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	32	32.0	0.9	0.053	0.028	0.037	0.03	0.521
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	4	4.0	0.0	0.0	0.0	0.0	-0.003	0.499
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	512	512.0	2.95	0.174	0.006	0.011	-0.003	0.492
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	63	63.0	1.25	0.074	0.02	0.031	0.026	0.525
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	7	7.0	0.0	0.0	0.0	0.0	-0.004	0.499
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	n	58.0	1.25	0.074	0.022	0.033	0.029	0.526
Acute_rhabdomyolysis	NA	58	ProteomeHD	COEXPRESSION	31.034	Random	-0.237	0.282	t	17.0	0.05	0.003	0.003	0.003	-0.003	0.498
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	1	1.0	0.1	0.006	0.1	0.011	0.024	0.503
